time_s,stage,spindle_command_rpm,feed_command_mm_min,load_proxy_pct,vibration_proxy_g_rms,temperature_proxy_c,surface_roughness_ra_um,evidence_label,advisory_state
94,disturbance,8000,650,60.78,0.616,37.42,,SIMULATED,ELIGIBLE
95,recovery,8000,650,54.87,0.572,37.35,,SIMULATED,ELIGIBLE
96,recovery,8000,650,53.93,0.541,37.27,,SIMULATED,ELIGIBLE
97,recovery,8000,650,53.18,0.521,37.18,,SIMULATED,ELIGIBLE
98,recovery,8000,650,52.71,0.508,37.09,,SIMULATED,ELIGIBLE
99,recovery,8000,650,52.6,0.5,37,,SIMULATED,ELIGIBLE
100,recovery,8000,650,52.83,0.494,36.91,,SIMULATED,ELIGIBLE
101,recovery,8000,650,53.36,0.488,36.83,,SIMULATED,ELIGIBLE
102,recovery,8000,650,54.08,0.48,36.77,,SIMULATED,ELIGIBLE
103,recovery,8000,650,54.86,0.469,36.72,,SIMULATED,ELIGIBLE
104,recovery,8000,650,55.54,0.456,36.68,,SIMULATED,ELIGIBLE
105,recovery,8000,650,56.02,0.442,36.65,,SIMULATED,ELIGIBLE
106,recovery,8000,650,56.2,0.431,36.63,,SIMULATED,ELIGIBLE
107,recovery,8000,650,56.05,0.423,36.61,,SIMULATED,ELIGIBLE
108,recovery,8000,650,55.62,0.419,36.59,,SIMULATED,ELIGIBLE
109,recovery,8000,650,54.97,0.421,36.56,,SIMULATED,ELIGIBLE
110,recovery,8000,650,54.25,0.427,36.53,,SIMULATED,ELIGIBLE
111,recovery,8000,650,53.58,0.435,36.49,,SIMULATED,ELIGIBLE
112,recovery,8000,650,53.09,0.443,36.45,,SIMULATED,ELIGIBLE
113,recovery,8000,650,52.88,0.448,36.41,,SIMULATED,ELIGIBLE
114,recovery,8000,650,52.99,0.45,36.38,,SIMULATED,ELIGIBLE
115,recovery,8000,650,53.4,0.447,36.36,,SIMULATED,ELIGIBLE
116,recovery,8000,650,54.04,0.44,36.35,,SIMULATED,ELIGIBLE
117,recovery,8000,650,54.8,0.43,36.35,,SIMULATED,ELIGIBLE
118,recovery,8000,650,55.54,0.42,36.35,,SIMULATED,ELIGIBLE
119,recovery,8000,650,56.13,0.412,36.36,,SIMULATED,ELIGIBLE
